date,Year,Month,Bond_lag_MV,Bond_Ew_Ret,Bond_Vw_Ret
1926-01-31,1926,1,,0.0051011067690189095,0.006829192102627778
1926-02-28,1926,2,0.019502,0.003621403122695787,0.0038439817656676766
1926-03-31,1926,3,0.0195,0.0038115530667295274,0.0035831204416263015
1926-04-30,1926,4,0.018736,0.004013733671900051,0.00648639961110636
1926-05-31,1926,5,0.019227,0.0021464119077439477,0.0026287471555894782
1926-06-30,1926,6,0.019225,0.004319121269683538,0.003744440749274706
1926-07-31,1926,7,0.018808,0.0006839763236417618,0.001341490139219506
1926-08-31,1926,8,0.018783,0.003007597665248106,0.0013657612174511164
1926-09-30,1926,9,0.018707,0.0020750859679258145,0.0009375886882136008
1926-10-31,1926,10,0.018259,0.004315595487133128,0.006379400860091908
1926-11-30,1926,11,0.018592,0.005755888863330995,0.00666711481389748
1926-12-31,1926,12,0.018563,0.004730054268707104,0.0074961507027545525
1927-01-31,1927,1,0.018021,0.0035987312037887476,0.00373415976461729
1927-02-28,1927,2,0.01823,0.004993270942205285,0.00417333388979975
1927-03-31,1927,3,0.01822,0.0053359452347361705,0.004830135976322636
1927-04-30,1927,4,0.016207,0.002545695719902361,0.0017680187619531931
1927-05-31,1927,5,0.017976,0.004251460553890609,0.005892624410433262
1927-06-30,1927,6,0.017921,0.0012603340002890274,-0.0002631677389396776
1927-07-31,1927,7,0.017104,0.003338919552335995,0.004301977343570804
1927-08-31,1927,8,0.017044,0.004117351182532844,0.005270609311658101
1927-09-30,1927,9,0.017474,0.0034609052053317093,0.001514183288788357
1927-10-31,1927,10,0.016786,0.004952442809080787,0.005475473691862866
1927-11-30,1927,11,0.0175,0.004148558753774305,0.004536765584174903
1927-12-31,1927,12,0.016743,0.005008672379379181,0.0030045244886891236
1928-01-31,1928,1,0.016829,0.002086118497663027,0.0009776779233323137
1928-02-29,1928,2,0.016476,0.003377228726495436,0.0034277984458794515
1928-03-31,1928,3,0.016387,0.0019740484510942903,0.0018094848987279925
1928-04-30,1928,4,0.016433,2.6962229371160846e-05,-0.00044045616926003056
1928-05-31,1928,5,0.016916,-0.0012648433953991905,-0.0036951327313511765
1928-06-30,1928,6,0.01684,-0.0009447404423021778,0.002653324164851187
1928-07-31,1928,7,0.016268,-0.012254912313561918,-0.007320449379839748
1928-08-31,1928,8,0.016508,0.0034635836887218345,0.004134198942536904
1928-09-30,1928,9,0.016736,-0.0014820759573091363,0.00037191027136293693
1928-10-31,1928,10,0.015735,0.0103173649335259,0.006266888903217613
1928-11-30,1928,11,0.016248,0.004730267444849374,0.002205490071898474
1928-12-31,1928,12,0.016231,0.000731270202096175,-0.0001489079374184657
1929-01-31,1929,1,0.015564,-0.0006862222517372868,-0.001369027245402506
1929-02-28,1929,2,0.016393,-0.0006380060485846085,-0.0014220893010077563
1929-03-31,1929,3,0.016378,-0.0023836920929620428,-0.004475152518610631
1929-04-30,1929,4,0.015804,0.008785740058644555,0.01234941910889538
1929-05-31,1929,5,0.016255,-0.0033967165077593998,-0.005785736284633002
1929-06-30,1929,6,0.01623,0.0058185301491783525,0.007680079334869409
1929-07-31,1929,7,0.01559,0.002622497827083541,0.0021691979812971194
1929-08-31,1929,8,0.01589,0.004182345360602573,0.003491014103345913
1929-09-30,1929,9,0.01587,-0.00200077992421656,0.0002882824917859767
1929-10-31,1929,10,0.015226,0.013347945444491088,0.014051242565620178
1929-11-30,1929,11,0.015776,0.011257371068474421,0.018168259135098855
1929-12-31,1929,12,0.015775,0.0044728334743578,0.0034696933372718028
1930-01-31,1930,1,0.014931,0.0011877510732525908,-0.0015106094106587288
1930-02-28,1930,2,0.015283,0.0065831285713275406,0.007521316564551923
