,Year,Month,Stock lag MV,Stock Ew Ret,Stock Vw Ret
0,1926,2,27032345.25,-0.053865261133603244,-0.03397601311914705
1,1926,3,26162083.6875,-0.09550010756972112,-0.06487498039593984
2,1926,4,24506931.6875,0.03205433861386139,0.03673541225661188
3,1926,5,25296194.5625,0.0019556240157480326,0.012248964563088808
4,1926,6,25587309.25,0.051075011600810544,0.0544569607680654
5,1926,7,26937267.125,0.012601978599221783,0.03123674809585939
6,1926,8,27402107.25,0.030776645669291332,0.028823639273864596
7,1926,9,28424773.75,-0.006402965384615387,0.005894287256338747
8,1926,10,28308144.0625,-0.03450105019305019,-0.029081356018566696
9,1926,11,27501095.375,0.024181003816793892,0.02818548384045503
10,1926,12,28281302.625,0.02432056787762906,0.028972250782059308
11,1927,1,29615346.5625,0.011944410984848478,0.0018990687099590536
12,1927,2,29783695.3125,0.05154843609022556,0.04426961819233205
13,1927,3,31217836.9375,-0.0191549925093633,0.004240576968222079
14,1927,4,31199380.1875,0.007532354477611941,0.007126009499539683
15,1927,5,31452864.5625,0.06174471747211895,0.05726143808969006
16,1927,6,33469629.1875,-0.019541307550644562,-0.020780091906708032
17,1927,7,32783069.4375,0.05762479166666666,0.07517270237971786
18,1927,8,35015154.0,0.0017285510948905085,0.0222434522428132
19,1927,9,35793629.8125,0.03132118659420289,0.049619525711326946
20,1927,10,39052717.1875,-0.0377743139329806,-0.04031813989047898
21,1927,11,37295541.0625,0.09383140246045694,0.06720919178957582
22,1927,12,39512042.0625,0.029850814035087724,0.02300749588541182
23,1928,1,40899814.0625,0.03141821043478261,-0.0032436770404847197
24,1928,2,40131604.75,-0.02223682037996546,-0.013562302080603321
25,1928,3,39404019.625,0.07150137152777777,0.09068275095225294
26,1928,4,42920254.0,0.08704547386759581,0.04464697924752059
27,1928,5,44712654.5,0.038923061188811184,0.01844173533717116
28,1928,6,45655523.4375,-0.06951732185886403,-0.04512325949129718
29,1928,7,43615929.9375,0.0030257829861111115,0.009490727508886552
30,1928,8,44218221.25,0.05845256335616438,0.06997903672709783
31,1928,9,47406648.8125,0.05013474319727891,0.03131173610164527
32,1928,10,49010121.4375,0.01673545882352941,0.017139428434993574
33,1928,11,50023732.1875,0.1162627796327212,0.12176463598512616
34,1928,12,56214138.0,-0.004682529702970294,0.004249111144513147
35,1929,1,58301298.25,0.032843496721311476,0.04992338102822392
36,1929,2,61869494.3125,0.006433599025974027,0.00018363802300514327
37,1929,3,61098821.375,-0.032025606451612905,-0.004992847468796606
38,1929,4,61219707.875,0.014320497584541063,0.017818926928352113
39,1929,5,63655318.25,-0.08982928705148206,-0.059066019939344384
40,1929,6,60690745.125,0.07394317411402157,0.1020843572688104
41,1929,7,66689186.75,0.02036296483180428,0.04596856645460311
42,1929,8,69819106.1875,0.02712900149925037,0.0871176055720704
43,1929,9,77225860.5625,-0.042662387240356085,-0.05025404361287026
44,1929,10,74380039.625,-0.20230582969432315,-0.19383661840302832
45,1929,11,60498277.0,-0.12229675060885588,-0.12231934030046354
46,1929,12,52780124.125,-0.024511314037626623,0.01690358779299883
47,1930,1,55151945.6875,0.10684971684093686,0.05744383734620754
48,1930,2,58958882.375,0.03538413655761024,0.027972855383520578
49,1930,3,60384498.1875,0.10468618945868946,0.0743974705022705
50,1930,4,65130697.875,-0.04266164055944056,-0.01835625263872066
51,1930,5,63976755.375,-0.03799016968011126,-0.013998224187555159
52,1930,6,63577514.625,-0.18546050557103064,-0.15820082049234793
53,1930,7,53092836.375,0.03761456330014225,0.0431455306416444
54,1930,8,56528383.8125,-0.016997925874125876,0.0038864887772601902
55,1930,9,56900210.3125,-0.15054772269465963,-0.12401799987473183
56,1930,10,49122272.875,-0.09608831586402267,-0.08673577764801386
57,1930,11,45197220.8125,-0.023445723702664796,-0.02905993426945957
58,1930,12,43944824.125,-0.13607409219858158,-0.07659968564594864
59,1931,1,40665042.6875,0.1402500957746479,0.06377786191519014
60,1931,2,43210817.4375,0.15380159688826026,0.1090889751092391
61,1931,3,47779922.25,-0.06316945582047687,-0.0619128346676294
62,1931,4,44425506.125,-0.14891517372881358,-0.09866428390841295
63,1931,5,39951292.5,-0.13941583026874116,-0.13145413514265528
64,1931,6,34652887.5,0.17926289325842698,0.1395928314230037
65,1931,7,39240609.625,-0.06821894632768362,-0.0655439119137331
66,1931,8,36559788.5,-0.019164552891396333,0.0043974103593675705
67,1931,9,36420867.0,-0.30650705405405404,-0.2879420549230215
68,1931,10,25272456.125,0.1028151225071225,0.08118703936694933
69,1931,11,27250933.375,-0.0893805304964539,-0.0888854067206354
70,1931,12,24655875.5625,-0.18414569872701558,-0.13397830894302382
71,1932,1,21180783.375,0.08389889015691869,-0.013429300700560722
72,1932,2,20924459.625,0.02027936209335219,0.0567420684065515
73,1932,3,21927657.3125,-0.12062693695025532,-0.1105360468185112
74,1932,4,19422130.375,-0.17725692045454544,-0.17772579355912957
75,1932,5,15844002.625,-0.2008653497822932,-0.20323196480033637
76,1932,6,12456991.4375,0.041114811594202896,-0.00677069145151185
77,1932,7,12141675.9375,0.4312048379562044,0.33752708330235404
78,1932,8,16218803.0,0.6699067363112392,0.37091474334117397
79,1932,9,22171206.25,-0.06065817800289435,-0.029030555129363995
80,1932,10,21393221.8125,-0.16466954190751446,-0.13131198815658165
81,1932,11,18516205.1875,-0.07637898695652173,-0.058414040804388896
82,1932,12,17308705.3125,-0.03275419767441861,0.04402972252583811
83,1933,1,17916415.0,0.036177106569343066,0.012615492392552443
84,1933,2,18159812.875,-0.15520101744186046,-0.1527059306183104
