Year,Month,Stock_lag_MV,Stock_Excess_Vw_Ret,Bond_lag_MV,Bond_Excess_Vw_Ret
1931,4,44.425506125,-0.0994912839084129,0.013941,0.0049409045592845
1931,5,39.9512925,-0.13232913514265518,0.015399,0.007382979308753501
1931,6,34.6528875,0.13908883142300368,0.015674,0.0016434823677810998
1931,7,39.240609625,-0.0661349119137331,0.015195,0.0014293643665318
1931,8,36.5597885,0.0040094103593675,0.015932,0.0019527091535288003
1931,9,36.420867,-0.2883590549230215,0.015954,-0.0172991273271614
1931,10,25.272456125,0.08037503936694931,0.015541,-0.0162085200796766
1931,11,27.250933375,-0.0905544067206354,0.016556,0.0003184169074637003
1931,12,24.6558755625,-0.1352303089430238,0.016432,-0.0211131500024003
1932,1,21.180783375,-0.0157963007005607,0.015633,-0.0079959237897984
1932,2,20.924459625,0.055295068406551504,0.016957,0.0213443751966596
1932,3,21.9276573125,-0.1116830468185112,0.016687,0.0060649399262952
